textbox9,textbox2,Textbox34,,,,,,,
Nationality(s): All Nationalities,State(s): All States,Data prior to 2002 was migrated into WRAPS from a legacy system therefore we are providing post-2002 data.,,,,,,,
,,,,,,,,,
Textbox87,Textbox82,nat_definition4,region_name_3,textbox37,Category3,textbox39,Assur_DestinationCity1,Cases3,Cases4
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Ethiopia,67,Phoenix,35,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Ethiopia,19,Phoenix,14,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Ethiopia,67,Tucson,14,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Ethiopia,19,Tucson,5,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Guinea,0,Glendale,0,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Guinea,1,Glendale,1,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iran,72,Glendale,18,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iran,25,Glendale,6,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iran,72,Mesa,3,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iran,25,Mesa,0,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iran,72,Phoenix,45,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iran,25,Phoenix,15,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iran,72,Scottsdale,2,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iran,25,Scottsdale,2,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iran,72,Tucson,4,"96,874"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2017,"1,044",Iran,25,Tucson,2,"33,368"
From: 01 Jan 2016,To: 31 Dec 2017,Arizona,CY 2016,"4,829",Iraq,485,Avondale,0,"96,874"
